parcelle;zone;date;time;sequence;ins-7;pl-7;hr-7;t-7;s;ac;ac_m;var_s;var_ac;var_ac_m
COR;anjou;20/09/2016;2.0;36.0;54.0;11.4;79.07;16.5428571428571;178.3;6.08;4.92;17.900000000000006;-1.9100000000000001;-2.01
COR;anjou;27/09/2016;3.0;36.0;62.0;0.4;70.5;16.1142857142857;207.9;6.17;4.5;29.599999999999994;0.08999999999999986;-0.41999999999999993
COR;anjou;04/10/2016;4.0;36.0;57.0;4.4;77.43;14.6714285714286;210.3;5.64;3.68;2.4000000000000057;-0.5300000000000002;-0.8199999999999998
COR;anjou;11/10/2016;5.0;36.0;57.0;0.0;72.86;11.0071428571429;218.3;5.59;3.93;8.0;-0.04999999999999982;0.25
COR;anjou;11/10/2016;6.0;36.0;39.0;5.0;79.93;10.67;221.7;5.24;3.12;3.3999999999999773;-0.34999999999999964;-0.81
D2M;anjou;13/09/2016;1.0;37.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
D2M;anjou;13/09/2016;2.0;37.0;69.0;12.4;69.07;20.8;165.9;7.94;8.15;NA;NA;NA
D2M;anjou;20/09/2016;3.0;37.0;51.0;12.2;78.86;17.4357142857143;180.5;6.13;5.93;14.599999999999994;-1.8100000000000005;-2.2200000000000006
D2M;anjou;27/09/2016;4.0;37.0;63.0;0.6;69.93;16.692857142857097;207.9;6.08;5.38;27.400000000000006;-0.04999999999999982;-0.5499999999999998
D2M;anjou;04/10/2016;5.0;37.0;61.0;8.6;76.71;15.1714285714286;217.2;5.68;4.84;9.299999999999983;-0.40000000000000036;-0.54
D2M;anjou;11/10/2016;6.0;37.0;57.0;0.0;72.71;11.98;231.1;5.59;4.43;13.900000000000006;-0.08999999999999986;-0.41000000000000014
FAY;anjou;13/09/2016;1.0;38.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FAY;anjou;13/09/2016;2.0;38.0;71.0;10.4;69.29;20.1928571428571;158.1;8.58;8.5;NA;NA;NA
FAY;anjou;20/09/2016;3.0;38.0;54.0;11.4;79.07;16.5428571428571;169.3;7.45;6.09;11.200000000000017;-1.13;-2.41
FAY;anjou;27/09/2016;4.0;38.0;62.0;0.4;70.5;16.1142857142857;198.8;6.71;5.54;29.5;-0.7400000000000002;-0.5499999999999998
FAY;anjou;04/10/2016;5.0;38.0;57.0;4.4;77.43;14.6714285714286;205.7;6.03;4.9;6.899999999999977;-0.6799999999999997;-0.6399999999999997
FAY;anjou;11/10/2016;6.0;38.0;57.0;0.0;71.5;11.87;224.1;5.73;4.89;18.400000000000006;-0.2999999999999998;-0.010000000000000675
MB;anjou;13/09/2016;1.0;39.0;52.8;17.5;64.36;21.4428571428571;150.3;8.53;6.9;NA;NA;NA
MB;anjou;20/09/2016;2.0;39.0;21.3;16.5;76.86;17.242857142857098;165.9;6.37;4.96;15.599999999999994;-2.1599999999999993;-1.9400000000000004
MB;anjou;27/09/2016;3.0;39.0;56.4;0.0;65.36;17.178571428571402;194.2;6.47;4.69;28.299999999999983;0.09999999999999964;-0.2699999999999996
MB;anjou;04/10/2016;4.0;39.0;41.7;10.0;72.93;15.521428571428599;205.7;6.03;4.29;11.5;-0.4399999999999995;-0.40000000000000036
MB;anjou;11/10/2016;5.0;39.0;45.3;0.5;69.93;11.728571428571401;213.6;5.59;3.97;7.900000000000006;-0.4400000000000004;-0.31999999999999984
MB;anjou;18/10/2016;6.0;39.0;32.8;3.5;75.64;11.4928571428571;214.8;5.54;3.66;1.200000000000017;-0.04999999999999982;-0.31000000000000005
PUY;anjou;13/09/2016;1.0;40.0;67.0;6.6;68.36;20.5642857142857;158.1;8.87;8.08;NA;NA;NA
PUY;anjou;20/09/2016;2.0;40.0;51.25;12.8;76.86;16.7;173.7;6.13;4.97;15.599999999999994;-2.7399999999999993;-3.1100000000000003
